"id","sector","category","brand","product_or_line","common_use","made_in_canada_claim","manufacturing_location","ownership_note","origin_caveat","tariff_relevance","candidate_hs_heading","evidence_quote","official_source_url","secondary_source_url","verification_date","confidence"
"18","Dairy and refrigerated foods","Yogourt","Liberte","Greek yogourt","High-protein plain and flavoured yogourt","Made in Canada from domestic and imported ingredients","Canada (location not stated)","ownership not verified","Made in Canada from domestic and imported ingredients","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Made in Canada from domestic and imported ingredients","https://www.liberte.ca/en/greek/index","","2026-08-28","Medium"
"19","Dairy and refrigerated foods","Milk and cream","Natrel","Fine-filtered milk and cream","Everyday drinking milk and cooking cream","products made from 100% Canadian milk","Canada (location not stated)","Ownership/parent stated on official page: ""We are part of the Agropur family""","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","When you choose Natrel, you are choosing products made from 100% Canadian milk.","https://www.natrel.ca/en/touch-more","","2026-08-28","Medium"
"20","Dairy and refrigerated foods","Milk and cream","Nutrinor","Milk and cream from Saguenay-Lac-Saint-Jean","Regional fluid milk and cream","dairy products made in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","The cooperative uses only dairy products made in Canada","https://laitnutrinor.com/en/nordic-milk/","https://laitnutrinor.com/en/faq/","2026-08-28","Medium"
"21","Dairy and refrigerated foods","Yogourt","Olympic Dairy","Krema and organic yogurt","Plain and Greek-style yogurt","Produced in Delta, BC","Delta, BC","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Produced in Delta, BC, our high in protein Greek plain yogurt is made with fresh milk and 100% natural source ingredients.","https://www.olympicdairy.com/en/product/greek-plain-yogurt/","","2026-08-28","Medium"
"22","Dairy and refrigerated foods","Cheese","Saputo","Stella / Frigo? placeholder","n.a.","Saputo produces dairy products from Canada","Canada (location not stated)","Ownership statement on official page: ""Sales are made under Company-owned or customer brand names."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","The Company produces, markets, and distributes a wide array of dairy products from Canada, the United States, Australia, Argentina, and the United Kingdom.","https://www.saputo.com/-/media/ecosystem/divisions/corporate-services/sites/saputo-com/saputo-com-documents/shareholder-reports/2020/01sap_annual-report2020_ang.pdf?rev=d5c2eec571be4057a64f698333d4da60&hash=914759157FE175D348FC1638E6C5920D","","2026-08-28","Medium"
"23","Dairy and refrigerated foods","Yogourt and dips","Skotidakis","Greek yogurt and tzatziki dips","Protein yogurt and vegetable dips","In our 100,000 square feet production facility, we use fresh quality milk to craft the finest cheeses and dairy products available.","St. Eugene, Ontario","Ownership statement on official page: ""Founder Peter Skotidakis purchased the farm in 1975."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Located in St. Eugene, Ontario, Canada, SKOTIDAKIS is all about excellence. In our 100,000 square feet production facility, we use fresh quality milk to craft the finest cheeses and dairy products available.","https://www.skotidakis.com/dairy-products-supplier.html","","2026-08-28","High"
"24","Dairy and refrigerated foods","Dips and spreads","Summer Fresh","Hummus and fresh dips","Snack dips and sandwich spreads","Made in Canada; manufactured locally","Canada (location not stated)","Canadian-owned per official page: ""Canadian owned family-run business""","None stated on fetched official page","Replaces U.S.-origin refrigerated dips and spreads","n.a.","Summer Fresh® products are all Made in Canada","https://www.summerfresh.com/made-by-canadians-for-canadians/","https://summerfreshfoodservice.com/our-food-standards/","2026-08-28","Medium"
"25","Dairy and refrigerated foods","Tofu and plant protein","Sunrise Soya Foods","Tofu (firm, soft, sprouted)","Plant protein for cooking","100% produced in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin refrigerated plant-protein groceries","n.a.","100% produced in Canada.","https://sunrise-soya.com/","","2026-08-28","Medium"
"26","Dairy and refrigerated foods","Cheese","Tre Stelle (Arla/Agropur)","Bocconcini and mozzarella","Fresh mozzarella for salads and pizza","Made from 100% Canadian Dairy","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (04.06)","04.06","Made from 100% Canadian Dairy","https://www.trestelle.ca/en-ca/products/bocconcini-cheese-200g-102704/","","2026-08-28","Medium"
"27","Dairy and refrigerated foods","Plant protein","Yves Veggie Cuisine","Veggie ground round and deli slices","Meat-alternative deli products","Made in Canada from domestic and imported ingredients.","Canada (location not stated)","ownership not verified","Made in Canada from domestic and imported ingredients.","Replaces U.S.-origin plant-protein refrigerated foods","n.a.","Made in Canada from domestic and imported ingredients.","https://yvesveggie.ca/en/products/deli-slices/veggie-ham/","https://yvesveggie.ca/en/products/ground-round/original-veggie-ground-round/","2026-08-28","Medium"
"28","Pantry, bakery, snacks, beverages, frozen and canned foods","Bread","ACE Bakery","Artisan baguettes and demi-baguettes","Artisan bread","Breads are baked in Canada and distributed in Canada and US.","Canada (location not stated)","Ownership/parent stated on official page: ""ACE Bakery is owned by Weston Foods, one of Canada's leading bakery companies.""","None stated on fetched official page","Replaces U.S.-origin flour-based food preparations (heading 19.01) and other imported U.S. baking staples","19.01","Breads are baked in Canada and distributed in Canada and US.","https://acebakery.com/pages/about-us","","2026-08-28","Medium"
"29","Pantry, bakery, snacks, beverages, frozen and canned foods","Juice","Allen's (Lassonde)","Apple juice","Apple juice","All of our juices and fruit juice cocktails are proudly made in Canada for/by Canadians.","Canada (location not stated)","Canadian-owned per official page: ""Lassonde, a Canadian family-owned business, entered the scene by purchasing the Allen’s brand in 1999.""","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","All of our juices and fruit juice cocktails are proudly made in Canada for/by Canadians.","https://allens.ca/our-story/","","2026-08-28","Medium"
"30","Pantry, bakery, snacks, beverages, frozen and canned foods","Frozen vegetables","Arctic Gardens (Bonduelle)","Frozen vegetables and vegetable blends","Freezer vegetables","Arctic Gardens vegetables are homegrown in Canada; they’re harvested, processed and packaged here.","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Processing and transforming vegetables here in Canada means that Arctic Gardens contributes to maintaining a healthy economy and preserving the environment.","https://www.arcticgardens.ca/blog/field-table/","","2026-08-28","Medium"
"31","Pantry, bakery, snacks, beverages, frozen and canned foods","Cereal and oats","Avena Foods","Only Oats gluten-free oats and oat flour","Breakfast oats and gluten-free baking","Gluten-free oat ingredient production at a new mill on the Canadian Prairies","Rowatt, SK","ownership not verified","None stated on fetched official page","Replaces U.S.-origin flour-based food preparations (heading 19.01) and other imported U.S. baking staples","n.a.","Avena is more than doubling its gluten-free oat ingredient production capacity with the commissioning of a new mill on the Canadian Prairies.","https://www.avenafoods.com/new-state-of-the-art-oat-mill-for-rte-ingredients/","","2026-08-28","High"
"32","Pantry, bakery, snacks, beverages, frozen and canned foods","Coffee","Balzac's Coffee Roasters","Roasted coffee beans","Home brewed coffee","100% Canadian small-batch roasted blends","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery and beverage items purchased instead of tariffed U.S. imports","n.a.","Curate your coffee routine with 100% Canadian small-batch roasted blends.","https://balzacs.com/","https://canadiansme.ca/balzacs-coffee-roasters-redefining-canadian-coffee/","2026-08-28","Medium"
"33","Pantry, bakery, snacks, beverages, frozen and canned foods","Maple and honey","Bee Maid Honey","Pure Canadian liquid and creamed honey","Table honey","producing high-quality Canadian honey","Spruce Grove, Alberta and Winnipeg, Manitoba","ownership not verified","None stated on fetched official page","Replaces U.S.-origin natural honey (heading 04.09) under the counter-tariffs","04.09","We are excited to share two significant achievements that demonstrate our commitment to producing high-quality Canadian honey while supporting our beekeeping community.","https://www.beemaid.com/bee-maid-news/a-sweet-expansion-bee-maid-celebrates-two-major-grand-openings/","","2026-08-28","High"
"34","Pantry, bakery, snacks, beverages, frozen and canned foods","Maple and honey","Billy Bee Honey","Liquid honey","Table honey","Products that are 100% Canadian, fully sourced from Canadian beekeepers","Alberta, Saskatchewan and Manitoba","ownership not verified","None stated on fetched official page","Replaces U.S.-origin natural honey (04.09)","04.09","Billy Bee is proud to offer products that are 100% Canadian, fully sourced from Canadian beekeepers.","https://www.clubhouse.ca/en-ca/billy-bee/about","","2026-08-28","High"
"35","Pantry, bakery, snacks, beverages, frozen and canned foods","Baking and chocolate","Camino (La Siembra)","Fair trade cocoa, chocolate and sugar","Cocoa powder and chocolate bars","La Siembra’s founders began to manufacture and distribute a hot chocolate, sugar and cocoa line themselves.","Canada (location not stated)","Canadian-owned per official page: ""La Siembra is organized as a worker-owned co-operative.""","La Siembra began sourcing cocoa from a co-operative in Costa Rica and sugar from a mill supporting co-operative farmers in Paraguay.","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations (19.01)","n.a.","Year 1 was spent in the community kitchen of First United Church—a socially progressive church in Ottawa. ... the founders began to manufacture and distribute a hot chocolate, sugar and cocoa line themselves.","https://camino.ca/about/","","2026-08-28","Medium"
"36","Pantry, bakery, snacks, beverages, frozen and canned foods","Frozen potato","Cavendish Farms","Frozen fries and Restaurant Style potatoes","Freezer fries","potato and vegetable processing facility in PEI Canada","PEI","Ownership/parent stated on official page: ""Cavendish Farms is part of a family owned company that has been customer focused since 1882.""","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Irving Group purchases C.M. Mclean potato and vegetable processing facility in PEI Canada and renames it Cavendish Farms.","https://www.cavendishfarms.com/en/our-story/","","2026-08-28","High"
"37","Pantry, bakery, snacks, beverages, frozen and canned foods","Wine","Chateau des Charmes","Niagara VQA wines","Wine","wines grown exclusively on the prestigious St. David’s Bench Niagara","Ontario","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery and beverage items purchased instead of tariffed U.S. imports","n.a.","From our cellar to your table, explore wines grown exclusively on the prestigious St. David’s Bench Niagara’s most coveted sub-appellation.","https://www.chateaudescharmes.com/","https://www.chateaudescharmes.com/post/buy-vqa-wine-online-what-ontario-wine-lovers-are-ordering-right-now","2026-08-28","Medium"
"38","Pantry, bakery, snacks, beverages, frozen and canned foods","Maple and honey","Citadelle Maple Syrup","Pure maple syrup","Table syrup and baking","100% pure maple syrup comes directly from Canada’s native forests","Canada (location not stated)","Ownership statement on official page: ""Citadelle is more than just a co-op."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Based all over Canada, our 1,400 highly skilled families of producers are proud to pass this ancestral Canadian tradition on","https://maplesyrupcitadelle.com/","","2026-08-28","Medium"
"39","Pantry, bakery, snacks, beverages, frozen and canned foods","Spirits","Crown Royal","Canadian whisky (Deluxe)","Whisky","Crown Royal’s distillery in Gimli, Manitoba","Gimli, Manitoba","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Crown Royal’s distillery in Gimli, Manitoba, is home to 1.5 million barrels of delicious whisky","https://www.crownroyal.com/story/our-home","","2026-08-28","High"
"40","Pantry, bakery, snacks, beverages, frozen and canned foods","Cookies and crackers","Dare Foods","Bear Paws cookies and Breton crackers","Lunch snacks and crackers","Manufactured in Canada and the United States","Canada (location not stated)","Ownership statement on official page: ""Dare has been a proudly Canadian, family-owned company since 1889."" (ownership category not further verified)","Manufactured in Canada and the United States; at times when demand is high, production of Breton products will also take place in the United States. Many Breton items are made in Canada.","Replaces U.S.-origin flour-based food preparations (heading 19.01) and other imported U.S. baking staples","19.01","Many of our Breton items are made right here in Canada.","https://www.darefoods.com/our-story/","","2026-08-28","Medium"
"41","Pantry, bakery, snacks, beverages, frozen and canned foods","Bread","Dempster's","Sliced white and whole wheat bread","Sandwich bread","proudly baked in Canada with Canadian wheat flour","Canada (location not stated)","ownership not verified","None stated on fetched official page | Availability note: Some products may not be available in your area; please check with your local retailer.","Replaces U.S.-origin flour-based food preparations (heading 19.01) and other imported U.S. baking staples","19.01","proudly baked in Canada with Canadian wheat flour","https://dempsters.ca/products/wheat-grain-bread/dempsters-half-loaf-100-whole-wheat-bread/380-g","","2026-08-28","Medium"
"42","Pantry, bakery, snacks, beverages, frozen and canned foods","Spirits","Dillon's Small Batch Distillers","Unfiltered Gin 22 / Rye whisky","Gin and whisky","Handcrafted Spirits from Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Dillon's Small Batch Distillers - Handcrafted Spirits from Canada","https://www.dillons.ca/","","2026-08-28","Medium"
"43","Pantry, bakery, snacks, beverages, frozen and canned foods","Jams and spreads","E.D. Smith","Fruit jams and pie fillings","Toast spread and baking filling","proudly prepared in Canada","Winona, Ontario","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Satisfy your craving for the taste of strawberries with this fabulous spread that is proudly prepared in Canada.","https://edsmith.all.biz/","","2026-08-28","High"
"44","Pantry, bakery, snacks, beverages, frozen and canned foods","Spirits","Forty Creek","Barrel Select Canadian whisky","Whisky","Born in Niagara; Canada's original craft whisky","Grimsby, Ontario","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Born in Niagara we are Canada's original craft whisky.","https://fortycreekwhisky.com/distillery/","","2026-08-28","High"
"45","Pantry, bakery, snacks, beverages, frozen and canned foods","Tea","Four O'Clock","Organic teas and herbal infusions","Tea and infusions","We craft, blend, and package our teas in Saint-Bruno-de-Montarville, Quebec","Saint-Bruno-de-Montarville, Quebec","Ownership statement on official page: ""As a Canadian, family-owned business"" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations (19.01)","n.a.","we are based in Saint-Bruno-de-Montarville, Quebec, where we craft, blend, and package our teas","https://fouroclock.ca/pages/our-story","","2026-08-28","High"
"46","Pantry, bakery, snacks, beverages, frozen and canned foods","Confectionery","Ganong","Chicken Bones and boxed chocolates","Candy and chocolate gifts","finely hand-crafted chocolates produced in Canada’s Chocolate Town","St. Stephen, New Brunswick","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Welcome to Canada’s Chocolate Town... they still to this day produce finely hand-crafted chocolates.","https://ganong.com/the-chocolatier-store/","","2026-08-28","High"
"47","Pantry, bakery, snacks, beverages, frozen and canned foods","Snacks","Hardbite","Handcrafted potato chips","Chip snacks","Made in Canada","British Columbia","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Proudly crafting snacks in British Columbia’s one and only chip making facility.","https://hardbitechips.com/","","2026-08-28","High"
"48","Pantry, bakery, snacks, beverages, frozen and canned foods","Wine","Henry of Pelham","Ontario VQA estate wines (incl. Fracette sparkling)","Wine","VQA wines of Ontario; Fracette is a new style of Sparkling wine crafted with Icewine and distinctively Canadian","Ontario","Ownership statement on official page: ""Family owned and operated."" (ownership category not further verified)","None stated on fetched official page | Availability note: Fracette is currently only available at the retail store.","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Fracette is a new style of Sparkling wine crafted with Icewine and distinctively Canadian.","https://henryofpelham.com/","","2026-08-28","High"
"49","Pantry, bakery, snacks, beverages, frozen and canned foods","Frozen seafood","High Liner Foods","Breaded fish fillets and sticks","Freezer fish for meals","producing a wide range of products ... in its Lunenburg, NS ... manufacturing facilities","Lunenburg, NS","ownership not verified","We obtain our seafood, raw material and some finished goods for the operation from supply channels around the world, including Europe, East Asia, South America and Alaska.","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","producing a wide range of products, from breaded and battered items to seafood entrees in its Lunenburg, NS, Newport News, VA, and Portsmouth, NH manufacturing facilities.","https://www.highlinerfoods.com/structure-governance","","2026-08-28","Medium"
"50","Pantry, bakery, snacks, beverages, frozen and canned foods","Wine","Inniskillin","Icewine (Vidal, Riesling)","Dessert wine and gifts","Canadian wine","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","Canada’s first estate winery, Inniskillin, is internationally renowned for its award-winning wines","https://www.inniskillin.com/our-story/","","2026-08-28","Medium"
"51","Pantry, bakery, snacks, beverages, frozen and canned foods","Pasta","Italpasta","Dry pasta (spaghetti, penne, macaroni)","Everyday dry pasta","made in Canada with the utmost care","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","The finest 100% Canadian wheat combined with modern technology and made in Canada with the utmost care.","https://www.italpasta.com/products/italpasta/","","2026-08-28","Medium"
"52","Pantry, bakery, snacks, beverages, frozen and canned foods","Coffee","Kicking Horse Coffee","Whole bean and ground coffee (Kick Ass, Three Sisters)","Home brewed coffee","roasted in Canada","Canada (location not stated)","ownership not verified","Our coffee may come from far and wide.","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","we roast 100% of our beans on Canadian soil.","https://kickinghorsecoffee.ca/pages/strong-roots","","2026-08-28","Medium"
"53","Pantry, bakery, snacks, beverages, frozen and canned foods","Condiments","Kozlik's","Canadian Mustard (Triple Crunch, Amazing Maple)","Sandwich and cooking mustard","Producing hand-made mustard in small batches; crafting mustards with 100% Canadian mustard seed","Canada (location not stated)","Ownership statement on official page: ""has remained family owned and operated to this day"" (ownership category not further verified)","Ingredients are sourced from local suppliers as much as possible.","Replaces U.S.-origin packaged grocery items in the counter-tariff basket, including flour-based food preparations","n.a.","We are proud to be a part of Canada’s mustard-making tradition, crafting our mustards with 100% Canadian mustard seed","https://www.kozliks.com/","","2026-08-28","Medium"
