"id","sector","category","brand","product_or_line","common_use","made_in_canada_claim","manufacturing_location","ownership_note","origin_caveat","tariff_relevance","candidate_hs_heading","evidence_quote","official_source_url","secondary_source_url","verification_date","confidence","sector_fr","category_fr","product_or_line_fr","common_use_fr","made_in_canada_claim_fr","manufacturing_location_fr","ownership_note_fr","origin_caveat_fr","tariff_relevance_fr"
13,"Dairy and refrigerated foods","Cottage cheese","Gay Lea Foods","Nordica cottage cheese","High-protein snack and cooking cheese","Canadian manufacturing network; transforms Canadian milk into a product sold exclusively to Canadian consumers","Toronto, Ontario","Ownership/parent stated on official page: ""owned by approximately 1,200 dairy farmer members in Ontario and Manitoba""","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","Expanding a facility that transforms Canadian milk into a product sold exclusively to Canadian consumers","https://www.gaylea.com/news/about-us/gay-lea-foods-invests-more-than-200-million-to-help-shape-the-future-of-canadian-dairy","","2026-08-28","High","Produits laitiers et aliments réfrigérés","Fromage cottage","Fromage cottage Nordica","Collation riche en protéines et fromage à cuisiner","Réseau canadien de fabrication; transforme le lait canadien en un produit vendu exclusivement aux consommateurs canadiens","Toronto, Ontario","Propriétaire ou société mère indiqué sur la page officielle : ""owned by approximately 1,200 dairy farmer members in Ontario and Manitoba""","Aucune précision sur la page officielle consultée","Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %"
14,"Dairy and refrigerated foods","Deli meats","Grimm's Fine Foods","Deli meats and sausages","Sandwich meats and sausages","Canadian Made","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin refrigerated deli meats","n.a.","European Craftsmanship. Canadian Made.","https://grimmsfinefoods.com/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Charcuteries","Charcuteries et saucisses","Viandes à sandwich et saucisses","Fabriqué au Canada","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les charcuteries réfrigérées d’origine américaine"
15,"Dairy and refrigerated foods","Refrigerated beverages and soups","Happy Planet","Smoothies and fresh soups","Smoothies and soups","almost all Happy Planet products are made locally in BC and Ontario, right here in Canada","Burnaby, BC","ownership not verified","The page states that almost all Happy Planet products are made locally in BC and Ontario; it does not state that every product is made in Canada. | Availability note: The page states that the following products were discontinued this fall: Fruit Smoothies 325ml—Extreme Green, Extreme C, Extreme Energy, Mango & Passionfruit, Coconut Pineapple, Blackberry, Boysenberry & Blackcurrant, Raspberry & Cherry, Orange Juice; Fruit Smoothies 900ml—Extreme C, Extreme Energy, Mango & Passionfruit, Coconut Pineapple, Chocolate Banana Protein, Blackberry, Boysenberry & Blackcurrant, Extreme Gold with Turmeric; Fruit Smoothies 1.5L—Organic Lemonade, Extreme Green, Coconut Pineapple; Nut Based Smoothies—GONUTS! Chocolate.","Replaces U.S.-origin refrigerated beverages and prepared foods","n.a.","We are a proudly Canadian company based in Burnaby, BC, and almost all Happy Planet products are made locally in BC and Ontario, right here in Canada.","https://happyplanet.com/faqs-2/","https://intengine.com/directory/profile/12408-happy-planet-foods-inc","2026-08-28","High","Produits laitiers et aliments réfrigérés","Boissons et soupes réfrigérées","Boissons fouettées et soupes fraîches","Boissons fouettées et soupes","Presque tous les produits Happy Planet sont fabriqués localement en Colombie-Britannique et en Ontario, ici même au Canada","Burnaby, Colombie-Britannique","Propriété non vérifiée","La page indique que presque tous les produits Happy Planet sont fabriqués localement en Colombie-Britannique et en Ontario; elle ne précise pas que tous les produits sont fabriqués au Canada. Remarque sur la disponibilité : La page indique que les produits suivants ont été interrompus cet automne: Smoothies de fruits 325 ml—Extreme Green, Extreme C, Extreme Energy, Mangue & Passionfruit, Ananas de noix de coco, Blackberry, Boysenberry & Blackcurrant, Raspberry & Cherry, Orange Juice; Smoothies de fruits 900 ml—Extreme C, Extreme Energy, Mangue & Passionfruit, Ananas de noix de coco, Protéines de banane de chocolat, Blackberry, Boysenberry & Blackcurrant, Extreme Gold with Turmeric; Smoothies de fruits 1,5 L—Lémonade organique, Extreme Green, Ananas de noix de coco; Smoothies à base de noix—GONUTS! Du chocolat.","Remplace les boissons réfrigérées et les aliments préparés d’origine américaine"
16,"Dairy and refrigerated foods","Yogourt","iogo","Yogourt cups and tubes","Family yogourt snacks and lunch-box tubes","Proudly Made in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Proudly Made in Canada","https://iogo.ca/en/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Yogourt","Pots et tubes de yogourt","Collations de yogourt familiales et tubes pour la boîte à lunch","Fièrement fabriqué au Canada","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
17,"Dairy and refrigerated foods","Butter","Lactantia","Butter and cream","Table and baking butter, cooking cream","producing ... products, right here in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Lactantia takes pride in producing trusted, high-quality, nutritious and great tasting products, right here in Canada.","https://lactantia.ca/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Beurre","Beurre et crème","Beurre de table et à pâtisserie; crème à cuisson","Production de produits ici même au Canada","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
18,"Dairy and refrigerated foods","Yogourt","Liberte","Greek yogourt","High-protein plain and flavoured yogourt","Made in Canada from domestic and imported ingredients","Canada (location not stated)","ownership not verified","Made in Canada from domestic and imported ingredients","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Made in Canada from domestic and imported ingredients","https://www.liberte.ca/en/greek/index","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Yogourt","Yogourt grec","Yogourt nature et aromatisé riche en protéines","Fabriqué au Canada à partir d’ingrédients canadiens et importés","Canada (emplacement non précisé)","Propriété non vérifiée","Fabriqué au Canada à partir d’ingrédients canadiens et importés","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
19,"Dairy and refrigerated foods","Milk and cream","Natrel","Fine-filtered milk and cream","Everyday drinking milk and cooking cream","products made from 100% Canadian milk","Canada (location not stated)","Ownership/parent stated on official page: ""We are part of the Agropur family""","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","When you choose Natrel, you are choosing products made from 100% Canadian milk.","https://www.natrel.ca/en/touch-more","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Lait et crème","Lait et crème microfiltrés","Lait à boire de tous les jours et crème à cuisson","Produits fabriqués avec du lait 100 % canadien","Canada (emplacement non précisé)","Propriétaire ou société mère indiqué sur la page officielle : ""We are part of the Agropur family""","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
20,"Dairy and refrigerated foods","Milk and cream","Nutrinor","Milk and cream from Saguenay-Lac-Saint-Jean","Regional fluid milk and cream","dairy products made in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","The cooperative uses only dairy products made in Canada","https://laitnutrinor.com/en/nordic-milk/","https://laitnutrinor.com/en/faq/","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Lait et crème","Lait et crème du Saguenay–Lac-Saint-Jean","Lait et crème liquides de la région","produits laitiers fabriqués au Canada","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
21,"Dairy and refrigerated foods","Yogourt","Olympic Dairy","Krema and organic yogurt","Plain and Greek-style yogurt","Produced in Delta, BC","Delta, BC","ownership not verified","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Produced in Delta, BC, our high in protein Greek plain yogurt is made with fresh milk and 100% natural source ingredients.","https://www.olympicdairy.com/en/product/greek-plain-yogurt/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Yogourt","Yogourts Krema et biologiques","Yogourt nature et de style grec","Produit en Delta, en Colombie-Britannique","Delta, Colombie-Britannique","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
22,"Dairy and refrigerated foods","Cheese","Saputo","Stella / Frigo? placeholder","n.a.","Saputo produces dairy products from Canada","Canada (location not stated)","Ownership statement on official page: ""Sales are made under Company-owned or customer brand names."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin cheese and curd (heading 04.06) hit by the 50% counter-tariff","04.06","The Company produces, markets, and distributes a wide array of dairy products from Canada, the United States, Australia, Argentina, and the United Kingdom.","https://www.saputo.com/-/media/ecosystem/divisions/corporate-services/sites/saputo-com/saputo-com-documents/shareholder-reports/2020/01sap_annual-report2020_ang.pdf?rev=d5c2eec571be4057a64f698333d4da60&hash=914759157FE175D348FC1638E6C5920D","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Fromage","Stella / Frigo? — entrée provisoire","n.d.","Saputo fabrique des produits laitiers au Canada","Canada (emplacement non précisé)","Déclaration concernant la propriété sur la page officielle : ""Sales are made under Company-owned or customer brand names."" (catégorie de propriété non vérifiée)","Aucune précision sur la page officielle consultée","Remplace le fromage d’origine américaine et le caillé (rubrique SH 04.06) frappé par le droit de douane de rétorsion de 50 %"
23,"Dairy and refrigerated foods","Yogourt and dips","Skotidakis","Greek yogurt and tzatziki dips","Protein yogurt and vegetable dips","In our 100,000 square feet production facility, we use fresh quality milk to craft the finest cheeses and dairy products available.","St. Eugene, Ontario","Ownership statement on official page: ""Founder Peter Skotidakis purchased the farm in 1975."" (ownership category not further verified)","None stated on fetched official page","Replaces U.S.-origin dairy such as cheese, milk powders and whey preparations covered by the September 8, 2026 counter-tariffs","n.a.","Located in St. Eugene, Ontario, Canada, SKOTIDAKIS is all about excellence. In our 100,000 square feet production facility, we use fresh quality milk to craft the finest cheeses and dairy products available.","https://www.skotidakis.com/dairy-products-supplier.html","","2026-08-28","High","Produits laitiers et aliments réfrigérés","Yogourt et trempettes","Yogourt grec et trempettes tzatziki","Yogourt riche en protéines et trempettes aux légumes","Dans son usine de production de 100 000 pieds carrés, l’entreprise utilise du lait frais pour fabriquer ses fromages et produits laitiers.","St. Eugene, Ontario","Déclaration concernant la propriété sur la page officielle : ""Founder Peter Skotidakis purchased the farm in 1975."" (catégorie de propriété non vérifiée)","Aucune précision sur la page officielle consultée","Remplace les produits laitiers d’origine américaine tels que le fromage, les poudres de lait et les préparations de lactosérum visées par les droits de douane de rétorsion du 8 septembre 2026"
24,"Dairy and refrigerated foods","Dips and spreads","Summer Fresh","Hummus and fresh dips","Snack dips and sandwich spreads","Made in Canada; manufactured locally","Canada (location not stated)","Canadian-owned per official page: ""Canadian owned family-run business""","None stated on fetched official page","Replaces U.S.-origin refrigerated dips and spreads","n.a.","Summer Fresh® products are all Made in Canada","https://www.summerfresh.com/made-by-canadians-for-canadians/","https://summerfreshfoodservice.com/our-food-standards/","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Trempettes et tartinades","Houmous et trempettes fraîches","Trempettes pour collation et tartinades à sandwich","Fabriqué au Canada; fabriqué localement","Canada (emplacement non précisé)","Propriété canadienne selon la page officielle : ""Canadian owned family-run business""","Aucune précision sur la page officielle consultée","Remplace les trempettes et tartinades réfrigérées d’origine américaine"
25,"Dairy and refrigerated foods","Tofu and plant protein","Sunrise Soya Foods","Tofu (firm, soft, sprouted)","Plant protein for cooking","100% produced in Canada","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin refrigerated plant-protein groceries","n.a.","100% produced in Canada.","https://sunrise-soya.com/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Tofu et protéines végétales","Tofu (ferme, mou, germé)","Protéine végétale pour la cuisine","100 % produit au Canada","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace les produits d’épicerie réfrigérés à base de protéines végétales d’origine américaine"
26,"Dairy and refrigerated foods","Cheese","Tre Stelle (Arla/Agropur)","Bocconcini and mozzarella","Fresh mozzarella for salads and pizza","Made from 100% Canadian Dairy","Canada (location not stated)","ownership not verified","None stated on fetched official page","Replaces U.S.-origin cheese and curd (04.06)","04.06","Made from 100% Canadian Dairy","https://www.trestelle.ca/en-ca/products/bocconcini-cheese-200g-102704/","","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Fromage","Bocconcini et mozzarella","Mozzarella fraîche pour les salades et la pizza","Fabriqué avec des produits laitiers 100 % canadiens","Canada (emplacement non précisé)","Propriété non vérifiée","Aucune précision sur la page officielle consultée","Remplace le fromage d’origine américaine et le caillé (04.06)"
27,"Dairy and refrigerated foods","Plant protein","Yves Veggie Cuisine","Veggie ground round and deli slices","Meat-alternative deli products","Made in Canada from domestic and imported ingredients.","Canada (location not stated)","ownership not verified","Made in Canada from domestic and imported ingredients.","Replaces U.S.-origin plant-protein refrigerated foods","n.a.","Made in Canada from domestic and imported ingredients.","https://yvesveggie.ca/en/products/deli-slices/veggie-ham/","https://yvesveggie.ca/en/products/ground-round/original-veggie-ground-round/","2026-08-28","Medium","Produits laitiers et aliments réfrigérés","Protéines végétales","Sans-viande haché et tranches végétales de type charcuterie","Produits végétaux de remplacement de la charcuterie","Fabriqué au Canada à partir d’ingrédients canadiens et importés.","Canada (emplacement non précisé)","Propriété non vérifiée","Fabriqué au Canada à partir d’ingrédients canadiens et importés.","Remplace les aliments réfrigérés à base de protéines végétales d’origine américaine"
